TANGGAL,TN,TX,TAVG,RR,SS
08-06-2024,"23,8","34,3",29,0,"7,4"
09-06-2024,"24,2",34,"28,5",0,"8,6"
10-06-2024,"24,6","34,2","29,2",0,5
11-06-2024,"25,8","34,3","28,7",0,"7,8"
12-06-2024,"25,2","33,9","28,2",0,"2,7"
13-06-2024,25,"31,4","27,7",0,"6,8"
14-06-2024,"24,6","33,4","28,9",0,"0,4"
15-06-2024,"25,4",33,"28,6",8888,"7,8"
16-06-2024,25,"34,5","28,8",0,"4,6"
17-06-2024,"23,6",34,"28,2",0,"8,2"
18-06-2024,"24,2","32,8","28,2",8888,"8,7"
19-06-2024,"24,2","34,2","28,1",0,"1,5"
20-06-2024,"23,2","33,8","27,6",0,"7,9"
21-06-2024,22,"34,2","27,9",0,"8,7"
22-06-2024,"22,8","33,4","27,8",0,"8,6"
23-06-2024,"23,8","34,7","28,7",0,"8,5"
24-06-2024,"24,7","32,4",28,0,"5,5"
25-06-2024,"24,6",34,"28,1",0,"1,3"
26-06-2024,"24,2","34,2","28,5",0,0
27-06-2024,"24,2","33,9","28,8",0,"6,2"
28-06-2024,"23,4","34,4",29,0,"7,7"
29-06-2024,25,"33,2","27,7",0,"7,1"
30-06-2024,"24,6","33,9","28,9",0,"2,1"
01-07-2024,"24,6",34,"28,6",0,"8,8"
02-07-2024,"24,8",34,"28,6",8888,"5,5"
03-07-2024,"24,4","34,2","29,2",0,"7,4"
04-07-2024,"25,2","32,3","26,3",0,"6,9"
05-07-2024,"23,6","31,8","27,2","33,6","6,9"
06-07-2024,"23,4",30,"24,1",46,"1,9"
07-07-2024,"22,4","32,5",27,"75,5",0
08-07-2024,-,"33,1",-,-,-
09-07-2024,"23,6","32,6",28,0,"7,5"
10-07-2024,"23,2","32,4","27,3",0,"4,8"
11-07-2024,23,"33,6",27,0,"7,5"
12-07-2024,21,33,"25,8",0,8
13-07-2024,"20,4","33,4","25,6",0,"7,7"
14-07-2024,"23,6","32,2","27,3",0,8
15-07-2024,"22,6",33,"27,2",0,8
16-07-2024,"21,8",34,"26,9",0,"7,3"
17-07-2024,"22,6","33,4","26,7",0,8
18-07-2024,"23,6","32,6","27,1",0,"6,2"
19-07-2024,"22,8","32,8","27,2",0,"5,3"
20-07-2024,"24,4",34,28,0,8
21-07-2024,"22,4","33,8",27,0,8
22-07-2024,"24,1","34,2","28,1",0,8
23-07-2024,"24,2","33,8",28,0,8
24-07-2024,25,"34,4","28,8",0,8
25-07-2024,"23,4","33,6","27,6",8888,"5,9"
26-07-2024,"24,2","33,4","28,1",0,8
27-07-2024,"21,6","33,8","27,6",0,8
28-07-2024,"22,4","34,2","27,1",0,8
29-07-2024,"23,8","34,6",28,0,8
30-07-2024,"22,3","35,2","27,3",0,8
31-07-2024,"22,6","35,2","27,4",0,8
01-08-2024,25,"33,2","28,2",0,8
02-08-2024,"24,4","31,8","26,9",0,"4,8"
03-08-2024,"24,6","33,2","28,4",8888,"3,2"
04-08-2024,"24,4",35,"28,4",0,"6,3"
05-08-2024,"22,4",35,"27,3",0,8
06-08-2024,"22,4",35,"27,7",0,8
07-08-2024,"23,8",34,"28,1",0,8
08-08-2024,"24,6",33,"27,9",0,"6,8"
09-08-2024,26,"32,9","28,9",0,"2,7"
10-08-2024,"25,2","34,8","29,2",0,"5,5"
11-08-2024,"23,4","32,8","27,3",0,"5,6"
12-08-2024,"23,2","33,6","27,6",0,8
13-08-2024,"20,4","35,6","26,6",0,8
14-08-2024,"21,8","34,4","27,4",0,8
15-08-2024,"23,8","33,8","28,3",0,8
16-08-2024,24,35,"28,5",0,8
17-08-2024,23,"35,6","27,8",0,"7,8"
18-08-2024,"22,8","35,4","27,9",0,8
19-08-2024,25,"35,8",29,0,8
20-08-2024,"23,4","35,4","28,6",0,8
21-08-2024,"23,8","35,6","28,3",0,8
22-08-2024,"24,6","34,8","28,6",0,8
23-08-2024,"24,4","35,1","28,3",0,"4,9"
24-08-2024,24,35,28,0,"7,8"
25-08-2024,"22,6","33,4","27,7",0,8
26-08-2024,"23,4",35,29,-,"6,3"
27-08-2024,"26,2",34,"28,7",-,"7,7"
28-08-2024,"24,5",36,"29,9",-,8
29-08-2024,26,35,"29,6",-,"7,5"
30-08-2024,"24,2","35,2","28,9",-,"3,8"
31-08-2024,"23,8","36,2","28,6",-,8
01-09-2024,"25,2","35,9","29,8",-,8
02-09-2024,"25,4","36,6","29,9",-,8
03-09-2024,"25,2","35,4","29,1",-,8
04-09-2024,"23,6","36,4","28,9",-,8
05-09-2024,26,"34,2","29,3",-,8
06-09-2024,"25,2","35,6","29,6",-,"3,8"
07-09-2024,26,"35,8","30,5",-,"7,6"
08-09-2024,"25,8",35,30,8888,8
09-09-2024,"25,6","35,5","29,3",0,"6,4"
10-09-2024,"24,4","33,4","28,5",1,"6,6"
11-09-2024,"24,2","32,4","27,6",24,"2,3"
12-09-2024,"24,2",35,"28,4",8888,"0,1"
13-09-2024,"24,2","35,1",29,-,8
14-09-2024,"24,4",35,"28,8",-,8
15-09-2024,23,"34,8","27,9",-,8
16-09-2024,24,"35,4","29,2",-,8
17-09-2024,"20,8","35,6","27,6",-,8
18-09-2024,"25,2","35,2","29,1",-,8
19-09-2024,"22,2","35,8",28,-,8
20-09-2024,"22,6","35,8","28,3",-,8
21-09-2024,"24,2","35,2","28,7",-,8
22-09-2024,"25,2","35,4","29,6",-,"7,9"
23-09-2024,"26,8","34,3","29,6",8888,"6,9"
24-09-2024,26,"33,2","26,6",8888,"3,7"
25-09-2024,"23,5","35,4","27,7",7,"2,2"
26-09-2024,24,"35,6","28,1",4,"5,6"
27-09-2024,"23,2",35,"28,6",90,"6,3"
28-09-2024,26,"35,5","29,9",-,8
29-09-2024,"25,2","35,6","29,7",-,8
30-09-2024,25,"36,2","29,6",-,8
01-10-2024,25,36,"30,2",-,8
02-10-2024,"25,8","36,2","30,2",-,8
03-10-2024,"26,2","35,7","29,9",-,"7,8"
04-10-2024,25,"35,4","29,4",-,"6,7"
05-10-2024,"26,4",35,"29,6",-,"7,4"
06-10-2024,"25,4",36,30,-,"6,5"
07-10-2024,"24,6","36,6","29,9",-,8
08-10-2024,"24,6","36,4","29,2",-,8
09-10-2024,"25,2","36,4","29,4",-,"7,3"
10-10-2024,"24,4","36,4","29,9",-,"6,9"
11-10-2024,26,"36,8","30,6",-,8
12-10-2024,26,37,"30,5",-,8
13-10-2024,26,36,"30,3",-,8
14-10-2024,"25,4","35,4","29,5",-,8
15-10-2024,"25,4","36,2","29,9",-,"4,8"
16-10-2024,"24,6","36,6",29,-,"5,9"
17-10-2024,"23,2","35,6","28,3",-,"7,9"
18-10-2024,"23,2","36,3","28,9",-,8
19-10-2024,"24,4","35,4","29,4",-,8
20-10-2024,"24,1","35,8","28,2",-,"6,1"
21-10-2024,"25,2","36,2",29,-,"5,6"
22-10-2024,"24,4",36,"27,9",-,"6,7"
23-10-2024,25,"36,2","29,7",27,"7,9"
24-10-2024,"26,3","36,2","30,6",-,"6,7"
25-10-2024,"25,6",36,"29,8",-,8
26-10-2024,"25,6","36,4","29,1",2,"7,4"
27-10-2024,"25,2","37,4","29,2",6,8
28-10-2024,"25,4","36,5","30,2",-,8
29-10-2024,26,"36,8","31,1",-,8
30-10-2024,"26,2",36,"30,7",-,8
31-10-2024,"25,8","36,8","30,7",-,"7,8"
01-11-2024,"25,8","33,8",27,-,8
02-11-2024,"25,2","35,6","27,5",4,"2,4"
03-11-2024,25,"32,5","27,9",8888,"5,5"
04-11-2024,"24,8",32,"26,2",8888,"0,9"
05-11-2024,"24,6",35,"29,1",6,"1,9"
06-11-2024,"25,2",35,"29,1",1,"6,9"
07-11-2024,"25,2",35,"28,8",-,4
08-11-2024,"25,4","35,7","29,8",13,"6,2"
09-11-2024,"25,8","35,4","28,4",-,8
10-11-2024,"25,4",35,"29,1",16,"5,1"
11-11-2024,"24,2","33,4","27,2",28,"4,9"
12-11-2024,"23,6",34,28,23,"3,6"
13-11-2024,"24,4","35,4","29,2",-,"7,7"
14-11-2024,"25,2","35,8",30,2,8
15-11-2024,"25,6","35,8","29,8",-,8
16-11-2024,"25,6","32,6",29,-,"1,8"
17-11-2024,"25,8","34,1","27,9",-,-
18-11-2024,25,"33,5",27,1,"4,5"
19-11-2024,25,"34,2","26,9",14,"5,8"
20-11-2024,"24,4","33,8","27,3",17,"3,7"
21-11-2024,"24,2","33,6","27,8",23,"5,7"
22-11-2024,"24,4","32,9","27,7",10,"4,1"
23-11-2024,25,33,"27,3",5,"5,1"
24-11-2024,25,"33,2","26,6",6,"2,6"
25-11-2024,"24,4",34,"28,7",75,"3,7"
26-11-2024,"24,6","33,6","28,3",23,"3,2"
27-11-2024,"24,6","33,2","27,1",2,"2,2"
28-11-2024,"24,6",34,"27,7",24,"3,8"
29-11-2024,25,"34,4","27,3",18,"3,9"
30-11-2024,"24,2","32,5","28,1",26,"5,4"
01-12-2024,"25,6",34,28,8888,"2,5"
02-12-2024,"25,2","29,8","27,4",12,"2,8"
03-12-2024,"25,8","31,2",27,8888,-
04-12-2024,"24,2","31,2",27,24,-
05-12-2024,"25,4","32,9","28,3",1,"0,3"
06-12-2024,"25,4","31,2","27,7",8888,"2,3"
07-12-2024,"25,4","33,2","28,6",0,"2,3"
08-12-2024,"25,6","33,6","29,1",8888,"4,4"
09-12-2024,"23,2",31,26,29,"2,2"
10-12-2024,"23,6",34,"27,5",1,-
11-12-2024,25,"34,8","29,3",9,"4,4"
12-12-2024,"26,6",35,"30,1",-,"4,9"
13-12-2024,"26,8","35,2","29,7",-,"2,7"
14-12-2024,"26,6","32,4","28,5",3,"6,7"
15-12-2024,26,"31,8",28,0,"0,3"
16-12-2024,"25,2",33,"27,9",0,"0,2"
17-12-2024,"25,6","33,6",29,0,"3,6"
18-12-2024,"25,8",32,"28,6",-,"6,1"
19-12-2024,"25,2","34,2","28,5",1,"0,6"
20-12-2024,"25,2","33,8","27,7",-,"6,5"
21-12-2024,"25,4","32,4","28,3",6,"6,3"
22-12-2024,"25,8",32,"28,7",0,3
23-12-2024,"25,2","31,4","27,2",10,"2,3"
24-12-2024,"25,8",32,"27,6",0,"1,7"
25-12-2024,"25,6",32,"27,4",0,-
26-12-2024,24,"32,8","27,8",8,"1,8"
27-12-2024,25,"34,4","28,4",8888,"2,9"
28-12-2024,"22,4","33,2","27,8","46,5","4,5"
29-12-2024,25,"33,2","28,4","0,4","3,5"
30-12-2024,"25,8","33,4","28,2",8888,"4,2"
31-12-2024,"25,2","32,4","27,9",4,"3,9"
01-01-2025,"25,6","32,4","28,6",-,"2,8"
02-01-2025,25,"32,6","28,3",-,"3,7"
03-01-2025,"24,2","34,2","27,9",16,"0,7"
04-01-2025,"23,8","33,2","26,8",43,"6,8"
05-01-2025,24,33,"26,9",32,"5,2"
06-01-2025,23,"33,6","26,4",24,"4,4"
07-01-2025,"23,6","32,2","27,1",97,"6,8"
08-01-2025,"24,6",32,"27,9",5,-
09-01-2025,23,"29,4","25,5",8,-
10-01-2025,"23,4","33,2","27,8",3,-
11-01-2025,25,"31,8",27,"2,9",3
12-01-2025,"24,2","33,2","27,5","10,5","0,5"
13-01-2025,"24,2","33,4","27,4","0,1","3,9"
14-01-2025,"24,4","30,6","26,8","2,3","5,6"
15-01-2025,"24,4","31,6","27,7",6,0
16-01-2025,"24,4",32,"27,7","112,5","0,9"
17-01-2025,"24,4","32,4","27,8",4,4
18-01-2025,"25,2",32,"28,3","0,2","2,9"
19-01-2025,"24,6","32,4","27,1",8888,"4,1"
20-01-2025,"22,8","32,4","26,3","5,3","5,6"
21-01-2025,"23,6",30,"26,6","2,2","1,7"
22-01-2025,"23,6","31,8","27,1",17,"0,1"
